Name,Year,Rating,Genre,Director,Cast,URL
Attarintiki Daredi,2013,7.3,"Action, Comedy, Drama",Trivikram Srinivas,Pawan Kalyan,"https://m.media-amazon.com/images/M/MV5BZWQzNDdmN2UtZTc5ZC00M2EzLWE2ZTUtMjVhNzJmOGQ5YzkwXkEyXkFqcGdeQXVyMzA0NTI2OTM@._V1_QL75_UY74_CR1,0,50,74_.jpg"
24,2016,7.6,"Action, Comedy, Drama",Vikram K. Kumar,Suriya,"https://m.media-amazon.com/images/M/MV5BMGU2Y2JhZmItMDU4Ni00NDA4LTg0MGMtYjlkZWMwMDdiZWE0XkEyXkFqcGdeQXVyOTA0NTIzNzU@._V1_UX45_CR0,0,45,67_AL_.jpg"
Aligarh,2015,7.6,"Biography, Drama",Hansal Mehta,Manoj Bajpayee,"https://m.media-amazon.com/images/M/MV5BZDUzYTRjMDAtNDkwMi00ZWY1LWI1OWEtM2VjY2NjNzNhOTRmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY67_CR0,0,45,67_AL_.jpg"
Arya,2004,7.6,"Action, Drama, Romance",Sukumar,Allu Arjun,"https://m.media-amazon.com/images/M/MV5BNTU3NDk4NDE4MV5BMl5BanBnXkFtZTgwODkzNzI4OTE@._V1_UY67_CR2,0,45,67_AL_.jpg"
Colour Photo,2020,7.6,Drama,Sandeep Raj,Suhas,"https://m.media-amazon.com/images/M/MV5BZDRiYzhiOTAtZGU5My00MTE0LTkwZjAtM2JhOGM2MzA4NWFiXkEyXkFqcGdeQXVyMTI0MjU5MzUw._V1_UY67_CR11,0,45,67_AL_.jpg"
Eega,2012,7.6,"Action, Comedy, Drama",S.S. Rajamouli,Sudeep,"https://m.media-amazon.com/images/M/MV5BMjFmZjYwNGUtYzE1NC00YTllLThmZDctODc3NDExYTY3NTM3XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_UX45_CR0,0,45,67_AL_.jpg"
Ennu Ninte Moideen,2015,7.6,"Biography, Drama, Romance",R.S. Vimal,Prithviraj Sukumaran,"https://m.media-amazon.com/images/M/MV5BZjNmZmY2OTItODUyYy00YjVmLWEwYTUtM2EwZDgyMzNmNTI0XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY67_CR2,0,45,67_AL_.jpg"
Goodachari,2018,7.6,"Action, Thriller",Sashi Kiran Tikka,Adivi Sesh,"https://m.media-amazon.com/images/M/MV5BZWIwYmRlZjAtNWUyOC00YzA4LWIyNjUtYTU1YWNiZGFhYmNmXkEyXkFqcGdeQXVyODMyODMxNDY@._V1_UY67_CR0,0,45,67_AL_.jpg"
Guru,2007,7.6,Drama,Mani Ratnam,Mithun Chakraborty,"https://m.media-amazon.com/images/M/MV5BZWE3OGQyYTQtMGQzNy00YjI0LTkwYWUtY2FjZjNmODFlNDNkXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY67_CR1,0,45,67_AL_.jpg"
Kapoor & Sons,2016,7.6,"Comedy, Drama, Family",Shakun Batra,Rishi Kapoor,"https://m.media-amazon.com/images/M/MV5BMjE4NDk4MTIwNl5BMl5BanBnXkFtZTgwNDEwODI5NzE@._V1_UY67_CR1,0,45,67_AL_.jpg"
